timestamp;x;y;z,
8,41287E+12;-0.20590134;0.59855044;9.619.903
8,41288E+12;-0.25378537;0.59855044;9.600.749
8,41289E+12;-0.22505496;0.56982;9.615.114
8,4129E+12;-0.20590134;0.61291564;9.595.961
8,41291E+12;-0.23463176;0.6368576;9.639.056
8,41292E+12;-0.22505496;0.62728083;9.610.326
8,41293E+12;-0.24420857;0.61291564;9.586.384
8,41294E+12;-0.22026655;0.56982;9.562.442
8,41295E+12;-0.22984336;0.60812724;9.643.845
8,41296E+12;-0.21068975;0.60333884;9.629.479
8,41297E+12;-0.20590134;0.62249243;9.634.268
8,41298E+12;-0.2777274;0.59376204;9.581.595
8,41299E+12;-0.22505496;0.58897364;9.619.903
8,413E+12;-0.22505496;0.59376204;9.653.421
8,41301E+12;-0.25857377;0.61291564;9.629.479
8,41302E+12;-0.24899697;0.61770403;9.610.326
8,41303E+12;-0.23463176;0.62249243;9.610.326
8,41304E+12;-0.21547815;0.62249243;9.615.114
8,41305E+12;-0.20111294;0.6464345;9.600.749
8,41306E+12;-0.19153613;0.58897364;9.548.077
8,41307E+12;-0.2873042;0.61770403;9.572.019
8,41308E+12;-0.24420857;0.62728083;9.572.019
8,41309E+12;-0.23942018;0.59855044;9.581.595
8,4131E+12;-0.20590134;0.60333884;9.629.479
8,41311E+12;-0.22984336;0.59376204;9.581.595
8,41312E+12;-0.23463176;0.62249243;9.634.268
8,41313E+12;-0.22505496;0.60812724;9.615.114
8,41314E+12;-0.20590134;0.61770403;9.667.787
8,41315E+12;-0.2633622;0.60333884;9.543.288
8,41316E+12;-0.25857377;0.63206923;9.572.019
8,41317E+12;-0.24420857;0.5554548;9.648.633
8,41318E+12;-0.23942018;0.58897364;9.591.172
8,41319E+12;-0.23942018;0.61291564;9.653.421
8,4132E+12;-0.22984336;0.62249243;9.600.749
8,41321E+12;-0.19153613;0.62728083;9.595.961
8,41322E+12;-0.23942018;0.6512229;9.586.384
8,41323E+12;-0.25857377;0.60812724;956.723
8,41324E+12;-0.22026655;0.62728083;9.581.595
8,41325E+12;-0.22984336;0.63206923;9.576.807
8,41326E+12;-0.2681506;0.58897364;9.605.537
8,41327E+12;-0.25378537;0.6512229;9.662.998
8,41328E+12;-0.21068975;0.641646;9.600.749
8,41329E+12;-0.22984336;0.60812724;9.581.595
8,4133E+12;-0.23942018;0.6512229;9.581.595
8,41331E+12;-0.272939;0.6751649;9.605.537
8,41332E+12;-0.2633622;0.6464345;9.591.172
8,41333E+12;-0.23463176;0.60812724;9.595.961
8,41334E+12;-0.2825158;0.5602432;9.576.807
8,41335E+12;-0.20111294;0.58418524;9.595.961
8,41336E+12;-0.20590134;0.61291564;9.562.442
8,41337E+12;-0.2633622;0.58897364;9.533.711
8,41338E+12;-0.21068975;0.62728083;956.723
8,41339E+12;-0.22984336;0.62728083;9.600.749
8,4134E+12;-0.20590134;0.6368576;965.821
8,41341E+12;-0.22026655;0.58418524;9.586.384
8,41342E+12;-0.21068975;0.60333884;9.605.537
8,41343E+12;-0.24899697;0.60812724;9.624.691
8,41344E+12;-0.22984336;0.56982;9.653.421
8,41345E+12;-0.21547815;0.61291564;9.586.384
8,41346E+12;-0.25857377;0.58418524;9.552.865
8,41347E+12;-0.2633622;0.5650316;9.591.172
8,41348E+12;-0.272939;0.6368576;9.557.653
8,41349E+12;-0.2681506;0.63206923;9.706.094
8,4135E+12;-0.25857377;0.6464345;9.648.633
8,41351E+12;-0.21547815;0.6655881;9.572.019
8,41352E+12;-0.20111294;0.59376204;9.576.807
8,41353E+12;-0.22984336;0.5746084;9.576.807
8,41354E+12;-0.22505496;0.62249243;9.557.653
8,41355E+12;-0.21068975;0.641646;9.576.807
8,41356E+12;-0.21068975;0.59855044;9.557.653
8,41357E+12;-0.2681506;0.6368576;9.595.961
8,41358E+12;-0.23942018;0.60812724;9.600.749
8,41359E+12;-0.22505496;0.60333884;9.595.961
8,4136E+12;-0.23942018;0.62728083;9.595.961
8,41361E+12;-0.23942018;0.59855044;9.595.961
8,41362E+12;-0.22984336;0.60812724;9.586.384
8,41363E+12;-0.21068975;0.6368576;9.615.114
8,41364E+12;-0.22984336;0.56982;9.586.384
8,41365E+12;-0.22026655;0.60812724;9.624.691
8,41366E+12;-0.20111294;0.58418524;9.610.326
8,41367E+12;-0.22505496;0.59376204;9.595.961
8,41368E+12;-0.22984336;0.5554548;9.610.326
8,41369E+12;-0.22505496;0.62249243;956.723
8,4137E+12;-0.25378537;0.60333884;9.586.384
8,41371E+12;-0.24420857;0.61291564;9.610.326
8,41372E+12;-0.20590134;0.6464345;9.586.384
8,41373E+12;-0.23463176;0.62249243;956.723
8,41374E+12;-0.19153613;0.6512229;9.643.845
8,41375E+12;-0.25857377;0.63206923;9.600.749
8,41376E+12;-0.23942018;0.61291564;9.629.479
8,41377E+12;-0.21547815;0.59855044;9.595.961
8,41378E+12;-0.21068975;0.60333884;9.605.537
